Project Title,Short Title,Project ID,Program,Language,URL,Abstract
Collective Awareness Platform for Tropospheric Ozone Pollution,CAPTOR,688110,H2020,en,https://cordis.europa.eu/project/id/688110,"Air pollution is the environmental topic that European citizens worry about most (Eurobarometer 2013). It puts considerable damage to health, agriculture and our natural environment. Despite these facts, the readiness and power of European citizens to take actions themselves..."
Citizens' observatory for coast and ocean optical monitoring,CITCLOPS,308469,FP7,es,https://cordis.europa.eu/project/id/308469/es,"In the marine environment, anthropogenic pressures on resources and non-anthropogenic causes may create harmful conditions that affect human society. Harmful algal blooms and habitat destruction are examples, which pose serious human-health threats and severely affect numerou..."
Development of sensor-based Citizens' Observatory Community for improving quality of life in cities,CITI-SENSE,308524,FP7,en,https://cordis.europa.eu/project/id/308524,"CITI-SENSE will develop ""citizens' observatories"" to empower citizens to contribute to and participate in environmental governance, to enable them to support and influence community and societal priorities and associated decision making. CITI-SENSE will develop, test, demonst..."
Citizen Science for Urban Environment and Health,CitieS-Health,824484,H2020,en,https://cordis.europa.eu/project/id/824484,"Scientific evidence about the negative health effects of urban environmental exposures is mounting. Yet key scientific gaps exist. Surveys show that citizens are increasingly concerned about the consequences of these exposures on their own health, and are engaged in data..."
Citizen Observatory Web,COBWEB,308513,FP7,en,https://cordis.europa.eu/project/id/308513,"COBWEB will leverage the UNESCO World Network of Biosphere Reserves (WNBR). Concentrating initially on the Welsh Dyfi Biosphere Reserve, we will develop a citizens' observatory framework, and then validate the work within the context of the UK National Spatial Data Infrastruc..."
Co-designed Citizen Observatories Services for the EOS-Cloud,COS4CLOUD,863463,H2020,en,https://cordis.europa.eu/project/id/863463,"COS4CLOUD (Co-designed citizen observatories for the EOS-Cloud) aims to design, prototyped and implemented services that address the Open Science challenges shared by Citizen observatories of biodiversity, based on the experience of platforms like: Artportalen, Natusfera..."
"Distributed Network for Odour Sensing, Empowerment and Sustainability",D-NOSES,789315,H2020,en,https://cordis.europa.eu/project/id/789315,"Odour pollution is the second reason for citizens' complaints after noise, across Europe. Frequent exposure to odour is associated with headache, stress and respiratory problems. Odour nuisance is an indicator of larger environmental issues, such as poor waste management or..."
DIONE: an integrated EO-based toolbox for modernising CAP area-based compliance checks and assessing respective environmental impact,DIONE,870378,H2020,en,https://cordis.europa.eu/project/id/870378,"DIONE proposes a close-to-market (TRL7) area-based direct payments monitoring toolbox that will address the forthcoming Modernised CAP regulation of using automated technologies to ensure more frequent, accurate and inexpensive compliance checks. In particular, DIONE will:(i)..."
Farmer clusters for Realising Agrobiodiversity Management across Ecosystems,FRAMEwork,862731,H2020,es,https://cordis.europa.eu/project/id/862731/es,"FRAMEwork is constructed based on the Farmer Cluster approach successfully implemented in the UK. FRAMEWORK will enrich and innovate existing Farmer Clusters by liaising with local and (inter)national stakeholder groups, and set up new, multi-actor, Farmer Clusters in..."
Ground Truth 2.0 - Environmental knowledge discovery of human sensed data,Ground Truth 2.0,689744,H2020,en,https://cordis.europa.eu/project/id/689744,Ground Truth 2.0 delivers the demonstration and validation of six scaled up citizen observatories in real operational conditions both in the EU and in Africa. It will strengthen the full feedback-loop in the information chain from citizen-based data collection to knowledge...
GROW Observatory,GROW,690199,H2020,en,https://cordis.europa.eu/project/id/690199,"The GROW Observatory (GROW) will create a sustainable citizen platform and community to generate, share and utilise information on land, soil and water resource at a resolution hitherto not previously considered. The vision is to underpin smart and sustainable custodianship of..."
Collective awareness platform for outdoor air pollution,hackAIR,688363,H2020,en,https://cordis.europa.eu/project/id/688363,"The overall objective of hackAIR is to develop and pilot test an open platform that will enable communities of citizens to easily set up air quality monitoring networks and engage their members in measuring and publishing outdoor air pollution levels, leveraging the power of..."
A Citizen Observatory and Innovation Marketplace for Land Use and Land Cover Monitoring,LANDSENSE,689812,H2020,es,https://cordis.europa.eu/project/id/689812/es,"Currently within the EU's Earth Observation (EO) monitoring framework, there is a need for low-cost methods for acquiring high quality in-situ data to create accurate and well-validated environmental monitoring products. The aim of the LandSense project is to build a far..."
Making Sense,Making Sense,688620,H2020,en,https://cordis.europa.eu/project/id/688620,"The raise of Fab Labs and maker spaces are creating new opportunities for citizen-driven innovation in a myriad domains ranging from open hardware to digital fabrication, community informatics, and participatory sensing. In the past five years, the broad availability of open..."
Developing metrics and instruments to evaluate citizen science impacts on the environment and society,MICS,824711,H2020,en,https://cordis.europa.eu/project/id/824711,"THE MICS project brings together a transdisciplinary team to address a scientific and policy priority area where citizen science has the potential to promote a paradigm shift. Nature-based solutions (NBSs) are actions to protect, sustainably manage and restore natural or..."
