project title,short title,project id,program,language,url,abstract,project_website,doi,status,signature_date,start_date,end_date,funded_under,total_cost,eu_contribution,coordinated_by,objective,keywords,programme,topic,coordinator,coordinator_eu_contribution,coordinator_adress,coordinator_website,number_participants,participant_no,participant_name,participant_address,participant_eu_contribution,participant_total_cost,participant_website
Collective Awareness Platform for Tropospheric Ozone Pollution,CAPTOR,688110.0,H2020,en,https://cordis.europa.eu/project/id/688110,"Air pollution is the environmental topic that European citizens worry about most (Eurobarometer 2013). It puts considerable damage to health, agriculture and our natural environment. Despite these facts, the readiness and power of European citizens to take actions themselves...",https://www.captor-project.eu,https://doi.org/10.3030/688110,Project closed,4 November 2015,1 January 2016,31 December 2018,INDUSTRIAL LEADERSHIP - Leadership in enabling and industrial technologies - Information and Communication Technologies (ICT),"1963982,50","1963982,50",UNIVERSITAT POLITECNICA DE CATALUNYA           Spain,"Air pollution is the environmental topic that European citizens worry about most (Eurobarometer 2013). It puts considerable damage to health, agriculture and our natural environment. Despite these facts, the readiness and power of European citizens to take actions themselves is limited. The drivers of the CAPTOR project are three large civil society organizations. Being the interface between ministries for environmental issues, national and local political decision makers and the citizens, their experience evidences that the provision of data and information on air pollution to citizens in top-down and passive ways, as it happens today, is not sufficient to engage a critical mass of participating citizens required to support transitions in the systems of production and consumption that are the root cause of air pollution. CAPTOR combines the concepts of citizen science, collaborative learning and environmental grassroots activism to leverage the collective intelligence of existing networks of local communities, allowing them to understand reasons and consequences of air pollution; to stimulate debate; to address authorities with scientific valuable, robust data from citizens’ network of monitoring stations; and to transform this discussion into solutions. It runs three big pilots in Austria, Italy and Spain, driven by grassroots activists and local communities where citizens will engage in the project on different levels to address their concerns. The consortium includes a balanced group of multidisciplinary partners, including: institutions with recognised experience in ICT technologies, and in environmental and social sciences; one of the largest community networks in the world; and 3 NGOs with experience in grass root environmental activism and a strong links in the territory. The project has a large impact capacity, as it is reflected by the fact that more than 82 stakeholders from 21 European countries have already shown interest in the proposal results.",  Citizen Science  Air pollution,H2020-EU.2.1.1. - INDUSTRIAL LEADERSHIP - Leadership in enabling and industrial technologies - Information and Communication Technologies (ICT)                     Main Programme,ICT-10-2015 - Collective Awareness Platforms for Sustainability and Social Innovation,UNIVERSITAT POLITECNICA DE CATALUNYA,"281062,50",CALLE JORDI GIRONA 31 08034 Barcelona Spain    ,http://www.upc.edu,11,1,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS   Spain,CALLE SERRANO 117 28006 Madrid    ,"180397,50","180397,50",http://www.csic.es
Collective Awareness Platform for Tropospheric Ozone Pollution,CAPTOR,688110.0,H2020,en,https://cordis.europa.eu/project/id/688110,"Air pollution is the environmental topic that European citizens worry about most (Eurobarometer 2013). It puts considerable damage to health, agriculture and our natural environment. Despite these facts, the readiness and power of European citizens to take actions themselves...",https://www.captor-project.eu,https://doi.org/10.3030/688110,Project closed,4 November 2015,1 January 2016,31 December 2018,INDUSTRIAL LEADERSHIP - Leadership in enabling and industrial technologies - Information and Communication Technologies (ICT),"1963982,50","1963982,50",UNIVERSITAT POLITECNICA DE CATALUNYA           Spain,"Air pollution is the environmental topic that European citizens worry about most (Eurobarometer 2013). It puts considerable damage to health, agriculture and our natural environment. Despite these facts, the readiness and power of European citizens to take actions themselves is limited. The drivers of the CAPTOR project are three large civil society organizations. Being the interface between ministries for environmental issues, national and local political decision makers and the citizens, their experience evidences that the provision of data and information on air pollution to citizens in top-down and passive ways, as it happens today, is not sufficient to engage a critical mass of participating citizens required to support transitions in the systems of production and consumption that are the root cause of air pollution. CAPTOR combines the concepts of citizen science, collaborative learning and environmental grassroots activism to leverage the collective intelligence of existing networks of local communities, allowing them to understand reasons and consequences of air pollution; to stimulate debate; to address authorities with scientific valuable, robust data from citizens’ network of monitoring stations; and to transform this discussion into solutions. It runs three big pilots in Austria, Italy and Spain, driven by grassroots activists and local communities where citizens will engage in the project on different levels to address their concerns. The consortium includes a balanced group of multidisciplinary partners, including: institutions with recognised experience in ICT technologies, and in environmental and social sciences; one of the largest community networks in the world; and 3 NGOs with experience in grass root environmental activism and a strong links in the territory. The project has a large impact capacity, as it is reflected by the fact that more than 82 stakeholders from 21 European countries have already shown interest in the proposal results.",  Citizen Science  Air pollution,H2020-EU.2.1.1. - INDUSTRIAL LEADERSHIP - Leadership in enabling and industrial technologies - Information and Communication Technologies (ICT)                     Main Programme,ICT-10-2015 - Collective Awareness Platforms for Sustainability and Social Innovation,UNIVERSITAT POLITECNICA DE CATALUNYA,"281062,50",CALLE JORDI GIRONA 31 08034 Barcelona Spain    ,http://www.upc.edu,11,2,ECOLOGISTAS EN ACCION   Spain,C MARQUES DE LEGANES 12 BAJO 28004 Madrid    ,"240693,75","240693,75",
Collective Awareness Platform for Tropospheric Ozone Pollution,CAPTOR,688110.0,H2020,en,https://cordis.europa.eu/project/id/688110,"Air pollution is the environmental topic that European citizens worry about most (Eurobarometer 2013). It puts considerable damage to health, agriculture and our natural environment. Despite these facts, the readiness and power of European citizens to take actions themselves...",https://www.captor-project.eu,https://doi.org/10.3030/688110,Project closed,4 November 2015,1 January 2016,31 December 2018,INDUSTRIAL LEADERSHIP - Leadership in enabling and industrial technologies - Information and Communication Technologies (ICT),"1963982,50","1963982,50",UNIVERSITAT POLITECNICA DE CATALUNYA           Spain,"Air pollution is the environmental topic that European citizens worry about most (Eurobarometer 2013). It puts considerable damage to health, agriculture and our natural environment. Despite these facts, the readiness and power of European citizens to take actions themselves is limited. The drivers of the CAPTOR project are three large civil society organizations. Being the interface between ministries for environmental issues, national and local political decision makers and the citizens, their experience evidences that the provision of data and information on air pollution to citizens in top-down and passive ways, as it happens today, is not sufficient to engage a critical mass of participating citizens required to support transitions in the systems of production and consumption that are the root cause of air pollution. CAPTOR combines the concepts of citizen science, collaborative learning and environmental grassroots activism to leverage the collective intelligence of existing networks of local communities, allowing them to understand reasons and consequences of air pollution; to stimulate debate; to address authorities with scientific valuable, robust data from citizens’ network of monitoring stations; and to transform this discussion into solutions. It runs three big pilots in Austria, Italy and Spain, driven by grassroots activists and local communities where citizens will engage in the project on different levels to address their concerns. The consortium includes a balanced group of multidisciplinary partners, including: institutions with recognised experience in ICT technologies, and in environmental and social sciences; one of the largest community networks in the world; and 3 NGOs with experience in grass root environmental activism and a strong links in the territory. The project has a large impact capacity, as it is reflected by the fact that more than 82 stakeholders from 21 European countries have already shown interest in the proposal results.",  Citizen Science  Air pollution,H2020-EU.2.1.1. - INDUSTRIAL LEADERSHIP - Leadership in enabling and industrial technologies - Information and Communication Technologies (ICT)                     Main Programme,ICT-10-2015 - Collective Awareness Platforms for Sustainability and Social Innovation,UNIVERSITAT POLITECNICA DE CATALUNYA,"281062,50",CALLE JORDI GIRONA 31 08034 Barcelona Spain    ,http://www.upc.edu,11,3,LEGAMBIENTE NAZIONALE APS RETE ASSOCIATIVA ETS   Italy,VIA SALARIA 403 00199 Roma    ,"238468,75","266963,75",
Collective Awareness Platform for Tropospheric Ozone Pollution,CAPTOR,688110.0,H2020,en,https://cordis.europa.eu/project/id/688110,"Air pollution is the environmental topic that European citizens worry about most (Eurobarometer 2013). It puts considerable damage to health, agriculture and our natural environment. Despite these facts, the readiness and power of European citizens to take actions themselves...",https://www.captor-project.eu,https://doi.org/10.3030/688110,Project closed,4 November 2015,1 January 2016,31 December 2018,INDUSTRIAL LEADERSHIP - Leadership in enabling and industrial technologies - Information and Communication Technologies (ICT),"1963982,50","1963982,50",UNIVERSITAT POLITECNICA DE CATALUNYA           Spain,"Air pollution is the environmental topic that European citizens worry about most (Eurobarometer 2013). It puts considerable damage to health, agriculture and our natural environment. Despite these facts, the readiness and power of European citizens to take actions themselves is limited. The drivers of the CAPTOR project are three large civil society organizations. Being the interface between ministries for environmental issues, national and local political decision makers and the citizens, their experience evidences that the provision of data and information on air pollution to citizens in top-down and passive ways, as it happens today, is not sufficient to engage a critical mass of participating citizens required to support transitions in the systems of production and consumption that are the root cause of air pollution. CAPTOR combines the concepts of citizen science, collaborative learning and environmental grassroots activism to leverage the collective intelligence of existing networks of local communities, allowing them to understand reasons and consequences of air pollution; to stimulate debate; to address authorities with scientific valuable, robust data from citizens’ network of monitoring stations; and to transform this discussion into solutions. It runs three big pilots in Austria, Italy and Spain, driven by grassroots activists and local communities where citizens will engage in the project on different levels to address their concerns. The consortium includes a balanced group of multidisciplinary partners, including: institutions with recognised experience in ICT technologies, and in environmental and social sciences; one of the largest community networks in the world; and 3 NGOs with experience in grass root environmental activism and a strong links in the territory. The project has a large impact capacity, as it is reflected by the fact that more than 82 stakeholders from 21 European countries have already shown interest in the proposal results.",  Citizen Science  Air pollution,H2020-EU.2.1.1. - INDUSTRIAL LEADERSHIP - Leadership in enabling and industrial technologies - Information and Communication Technologies (ICT)                     Main Programme,ICT-10-2015 - Collective Awareness Platforms for Sustainability and Social Innovation,UNIVERSITAT POLITECNICA DE CATALUNYA,"281062,50",CALLE JORDI GIRONA 31 08034 Barcelona Spain    ,http://www.upc.edu,11,4,LEGAMBIENTE LOMBARDIA ONLUS   Italy,VIA ADELAIDE BONO CAIROLI 22 20127 Milano    ,"11080,00",No data,
Collective Awareness Platform for Tropospheric Ozone Pollution,CAPTOR,688110.0,H2020,en,https://cordis.europa.eu/project/id/688110,"Air pollution is the environmental topic that European citizens worry about most (Eurobarometer 2013). It puts considerable damage to health, agriculture and our natural environment. Despite these facts, the readiness and power of European citizens to take actions themselves...",https://www.captor-project.eu,https://doi.org/10.3030/688110,Project closed,4 November 2015,1 January 2016,31 December 2018,INDUSTRIAL LEADERSHIP - Leadership in enabling and industrial technologies - Information and Communication Technologies (ICT),"1963982,50","1963982,50",UNIVERSITAT POLITECNICA DE CATALUNYA           Spain,"Air pollution is the environmental topic that European citizens worry about most (Eurobarometer 2013). It puts considerable damage to health, agriculture and our natural environment. Despite these facts, the readiness and power of European citizens to take actions themselves is limited. The drivers of the CAPTOR project are three large civil society organizations. Being the interface between ministries for environmental issues, national and local political decision makers and the citizens, their experience evidences that the provision of data and information on air pollution to citizens in top-down and passive ways, as it happens today, is not sufficient to engage a critical mass of participating citizens required to support transitions in the systems of production and consumption that are the root cause of air pollution. CAPTOR combines the concepts of citizen science, collaborative learning and environmental grassroots activism to leverage the collective intelligence of existing networks of local communities, allowing them to understand reasons and consequences of air pollution; to stimulate debate; to address authorities with scientific valuable, robust data from citizens’ network of monitoring stations; and to transform this discussion into solutions. It runs three big pilots in Austria, Italy and Spain, driven by grassroots activists and local communities where citizens will engage in the project on different levels to address their concerns. The consortium includes a balanced group of multidisciplinary partners, including: institutions with recognised experience in ICT technologies, and in environmental and social sciences; one of the largest community networks in the world; and 3 NGOs with experience in grass root environmental activism and a strong links in the territory. The project has a large impact capacity, as it is reflected by the fact that more than 82 stakeholders from 21 European countries have already shown interest in the proposal results.",  Citizen Science  Air pollution,H2020-EU.2.1.1. - INDUSTRIAL LEADERSHIP - Leadership in enabling and industrial technologies - Information and Communication Technologies (ICT)                     Main Programme,ICT-10-2015 - Collective Awareness Platforms for Sustainability and Social Innovation,UNIVERSITAT POLITECNICA DE CATALUNYA,"281062,50",CALLE JORDI GIRONA 31 08034 Barcelona Spain    ,http://www.upc.edu,11,5,LEGAMBIENTE VOLONTARIATO VENETO   Italy,CORSO DEL POPOLO 276 45100 Rovigo    ,"5650,00",No data,
Collective Awareness Platform for Tropospheric Ozone Pollution,CAPTOR,688110.0,H2020,en,https://cordis.europa.eu/project/id/688110,"Air pollution is the environmental topic that European citizens worry about most (Eurobarometer 2013). It puts considerable damage to health, agriculture and our natural environment. Despite these facts, the readiness and power of European citizens to take actions themselves...",https://www.captor-project.eu,https://doi.org/10.3030/688110,Project closed,4 November 2015,1 January 2016,31 December 2018,INDUSTRIAL LEADERSHIP - Leadership in enabling and industrial technologies - Information and Communication Technologies (ICT),"1963982,50","1963982,50",UNIVERSITAT POLITECNICA DE CATALUNYA           Spain,"Air pollution is the environmental topic that European citizens worry about most (Eurobarometer 2013). It puts considerable damage to health, agriculture and our natural environment. Despite these facts, the readiness and power of European citizens to take actions themselves is limited. The drivers of the CAPTOR project are three large civil society organizations. Being the interface between ministries for environmental issues, national and local political decision makers and the citizens, their experience evidences that the provision of data and information on air pollution to citizens in top-down and passive ways, as it happens today, is not sufficient to engage a critical mass of participating citizens required to support transitions in the systems of production and consumption that are the root cause of air pollution. CAPTOR combines the concepts of citizen science, collaborative learning and environmental grassroots activism to leverage the collective intelligence of existing networks of local communities, allowing them to understand reasons and consequences of air pollution; to stimulate debate; to address authorities with scientific valuable, robust data from citizens’ network of monitoring stations; and to transform this discussion into solutions. It runs three big pilots in Austria, Italy and Spain, driven by grassroots activists and local communities where citizens will engage in the project on different levels to address their concerns. The consortium includes a balanced group of multidisciplinary partners, including: institutions with recognised experience in ICT technologies, and in environmental and social sciences; one of the largest community networks in the world; and 3 NGOs with experience in grass root environmental activism and a strong links in the territory. The project has a large impact capacity, as it is reflected by the fact that more than 82 stakeholders from 21 European countries have already shown interest in the proposal results.",  Citizen Science  Air pollution,H2020-EU.2.1.1. - INDUSTRIAL LEADERSHIP - Leadership in enabling and industrial technologies - Information and Communication Technologies (ICT)                     Main Programme,ICT-10-2015 - Collective Awareness Platforms for Sustainability and Social Innovation,UNIVERSITAT POLITECNICA DE CATALUNYA,"281062,50",CALLE JORDI GIRONA 31 08034 Barcelona Spain    ,http://www.upc.edu,11,6,LEGAMBIENTE PIEMONTE E VALLE D'AOSTA APS   Italy,VIA MARIA AUSILIATRICE 45 10152 Torino    ,"5820,00",No data,
Collective Awareness Platform for Tropospheric Ozone Pollution,CAPTOR,688110.0,H2020,en,https://cordis.europa.eu/project/id/688110,"Air pollution is the environmental topic that European citizens worry about most (Eurobarometer 2013). It puts considerable damage to health, agriculture and our natural environment. Despite these facts, the readiness and power of European citizens to take actions themselves...",https://www.captor-project.eu,https://doi.org/10.3030/688110,Project closed,4 November 2015,1 January 2016,31 December 2018,INDUSTRIAL LEADERSHIP - Leadership in enabling and industrial technologies - Information and Communication Technologies (ICT),"1963982,50","1963982,50",UNIVERSITAT POLITECNICA DE CATALUNYA           Spain,"Air pollution is the environmental topic that European citizens worry about most (Eurobarometer 2013). It puts considerable damage to health, agriculture and our natural environment. Despite these facts, the readiness and power of European citizens to take actions themselves is limited. The drivers of the CAPTOR project are three large civil society organizations. Being the interface between ministries for environmental issues, national and local political decision makers and the citizens, their experience evidences that the provision of data and information on air pollution to citizens in top-down and passive ways, as it happens today, is not sufficient to engage a critical mass of participating citizens required to support transitions in the systems of production and consumption that are the root cause of air pollution. CAPTOR combines the concepts of citizen science, collaborative learning and environmental grassroots activism to leverage the collective intelligence of existing networks of local communities, allowing them to understand reasons and consequences of air pollution; to stimulate debate; to address authorities with scientific valuable, robust data from citizens’ network of monitoring stations; and to transform this discussion into solutions. It runs three big pilots in Austria, Italy and Spain, driven by grassroots activists and local communities where citizens will engage in the project on different levels to address their concerns. The consortium includes a balanced group of multidisciplinary partners, including: institutions with recognised experience in ICT technologies, and in environmental and social sciences; one of the largest community networks in the world; and 3 NGOs with experience in grass root environmental activism and a strong links in the territory. The project has a large impact capacity, as it is reflected by the fact that more than 82 stakeholders from 21 European countries have already shown interest in the proposal results.",  Citizen Science  Air pollution,H2020-EU.2.1.1. - INDUSTRIAL LEADERSHIP - Leadership in enabling and industrial technologies - Information and Communication Technologies (ICT)                     Main Programme,ICT-10-2015 - Collective Awareness Platforms for Sustainability and Social Innovation,UNIVERSITAT POLITECNICA DE CATALUNYA,"281062,50",CALLE JORDI GIRONA 31 08034 Barcelona Spain    ,http://www.upc.edu,11,7,LEGAMBIENTE EMILIA-ROMAGNA APS   Italy,VIA MASIMO GORKI 6 40128 Bologna    ,"5945,00",No data,
Collective Awareness Platform for Tropospheric Ozone Pollution,CAPTOR,688110.0,H2020,en,https://cordis.europa.eu/project/id/688110,"Air pollution is the environmental topic that European citizens worry about most (Eurobarometer 2013). It puts considerable damage to health, agriculture and our natural environment. Despite these facts, the readiness and power of European citizens to take actions themselves...",https://www.captor-project.eu,https://doi.org/10.3030/688110,Project closed,4 November 2015,1 January 2016,31 December 2018,INDUSTRIAL LEADERSHIP - Leadership in enabling and industrial technologies - Information and Communication Technologies (ICT),"1963982,50","1963982,50",UNIVERSITAT POLITECNICA DE CATALUNYA           Spain,"Air pollution is the environmental topic that European citizens worry about most (Eurobarometer 2013). It puts considerable damage to health, agriculture and our natural environment. Despite these facts, the readiness and power of European citizens to take actions themselves is limited. The drivers of the CAPTOR project are three large civil society organizations. Being the interface between ministries for environmental issues, national and local political decision makers and the citizens, their experience evidences that the provision of data and information on air pollution to citizens in top-down and passive ways, as it happens today, is not sufficient to engage a critical mass of participating citizens required to support transitions in the systems of production and consumption that are the root cause of air pollution. CAPTOR combines the concepts of citizen science, collaborative learning and environmental grassroots activism to leverage the collective intelligence of existing networks of local communities, allowing them to understand reasons and consequences of air pollution; to stimulate debate; to address authorities with scientific valuable, robust data from citizens’ network of monitoring stations; and to transform this discussion into solutions. It runs three big pilots in Austria, Italy and Spain, driven by grassroots activists and local communities where citizens will engage in the project on different levels to address their concerns. The consortium includes a balanced group of multidisciplinary partners, including: institutions with recognised experience in ICT technologies, and in environmental and social sciences; one of the largest community networks in the world; and 3 NGOs with experience in grass root environmental activism and a strong links in the territory. The project has a large impact capacity, as it is reflected by the fact that more than 82 stakeholders from 21 European countries have already shown interest in the proposal results.",  Citizen Science  Air pollution,H2020-EU.2.1.1. - INDUSTRIAL LEADERSHIP - Leadership in enabling and industrial technologies - Information and Communication Technologies (ICT)                     Main Programme,ICT-10-2015 - Collective Awareness Platforms for Sustainability and Social Innovation,UNIVERSITAT POLITECNICA DE CATALUNYA,"281062,50",CALLE JORDI GIRONA 31 08034 Barcelona Spain    ,http://www.upc.edu,11,8,ZENTRUM FUR SOZIALE INNOVATION GMBH   Austria,LINKE WIENZEILE 246 1150 Wien    ,"400750,00","400750,00",http://www.zsi.at
Collective Awareness Platform for Tropospheric Ozone Pollution,CAPTOR,688110.0,H2020,en,https://cordis.europa.eu/project/id/688110,"Air pollution is the environmental topic that European citizens worry about most (Eurobarometer 2013). It puts considerable damage to health, agriculture and our natural environment. Despite these facts, the readiness and power of European citizens to take actions themselves...",https://www.captor-project.eu,https://doi.org/10.3030/688110,Project closed,4 November 2015,1 January 2016,31 December 2018,INDUSTRIAL LEADERSHIP - Leadership in enabling and industrial technologies - Information and Communication Technologies (ICT),"1963982,50","1963982,50",UNIVERSITAT POLITECNICA DE CATALUNYA           Spain,"Air pollution is the environmental topic that European citizens worry about most (Eurobarometer 2013). It puts considerable damage to health, agriculture and our natural environment. Despite these facts, the readiness and power of European citizens to take actions themselves is limited. The drivers of the CAPTOR project are three large civil society organizations. Being the interface between ministries for environmental issues, national and local political decision makers and the citizens, their experience evidences that the provision of data and information on air pollution to citizens in top-down and passive ways, as it happens today, is not sufficient to engage a critical mass of participating citizens required to support transitions in the systems of production and consumption that are the root cause of air pollution. CAPTOR combines the concepts of citizen science, collaborative learning and environmental grassroots activism to leverage the collective intelligence of existing networks of local communities, allowing them to understand reasons and consequences of air pollution; to stimulate debate; to address authorities with scientific valuable, robust data from citizens’ network of monitoring stations; and to transform this discussion into solutions. It runs three big pilots in Austria, Italy and Spain, driven by grassroots activists and local communities where citizens will engage in the project on different levels to address their concerns. The consortium includes a balanced group of multidisciplinary partners, including: institutions with recognised experience in ICT technologies, and in environmental and social sciences; one of the largest community networks in the world; and 3 NGOs with experience in grass root environmental activism and a strong links in the territory. The project has a large impact capacity, as it is reflected by the fact that more than 82 stakeholders from 21 European countries have already shown interest in the proposal results.",  Citizen Science  Air pollution,H2020-EU.2.1.1. - INDUSTRIAL LEADERSHIP - Leadership in enabling and industrial technologies - Information and Communication Technologies (ICT)                     Main Programme,ICT-10-2015 - Collective Awareness Platforms for Sustainability and Social Innovation,UNIVERSITAT POLITECNICA DE CATALUNYA,"281062,50",CALLE JORDI GIRONA 31 08034 Barcelona Spain    ,http://www.upc.edu,11,9,GLOBAL 2000 UMWELTSCHUTZORGANISATION   Austria,NEUSTIFTGASSE 36 1070 Wien    ,"310748,00","310748,00",
Collective Awareness Platform for Tropospheric Ozone Pollution,CAPTOR,688110.0,H2020,en,https://cordis.europa.eu/project/id/688110,"Air pollution is the environmental topic that European citizens worry about most (Eurobarometer 2013). It puts considerable damage to health, agriculture and our natural environment. Despite these facts, the readiness and power of European citizens to take actions themselves...",https://www.captor-project.eu,https://doi.org/10.3030/688110,Project closed,4 November 2015,1 January 2016,31 December 2018,INDUSTRIAL LEADERSHIP - Leadership in enabling and industrial technologies - Information and Communication Technologies (ICT),"1963982,50","1963982,50",UNIVERSITAT POLITECNICA DE CATALUNYA           Spain,"Air pollution is the environmental topic that European citizens worry about most (Eurobarometer 2013). It puts considerable damage to health, agriculture and our natural environment. Despite these facts, the readiness and power of European citizens to take actions themselves is limited. The drivers of the CAPTOR project are three large civil society organizations. Being the interface between ministries for environmental issues, national and local political decision makers and the citizens, their experience evidences that the provision of data and information on air pollution to citizens in top-down and passive ways, as it happens today, is not sufficient to engage a critical mass of participating citizens required to support transitions in the systems of production and consumption that are the root cause of air pollution. CAPTOR combines the concepts of citizen science, collaborative learning and environmental grassroots activism to leverage the collective intelligence of existing networks of local communities, allowing them to understand reasons and consequences of air pollution; to stimulate debate; to address authorities with scientific valuable, robust data from citizens’ network of monitoring stations; and to transform this discussion into solutions. It runs three big pilots in Austria, Italy and Spain, driven by grassroots activists and local communities where citizens will engage in the project on different levels to address their concerns. The consortium includes a balanced group of multidisciplinary partners, including: institutions with recognised experience in ICT technologies, and in environmental and social sciences; one of the largest community networks in the world; and 3 NGOs with experience in grass root environmental activism and a strong links in the territory. The project has a large impact capacity, as it is reflected by the fact that more than 82 stakeholders from 21 European countries have already shown interest in the proposal results.",  Citizen Science  Air pollution,H2020-EU.2.1.1. - INDUSTRIAL LEADERSHIP - Leadership in enabling and industrial technologies - Information and Communication Technologies (ICT)                     Main Programme,ICT-10-2015 - Collective Awareness Platforms for Sustainability and Social Innovation,UNIVERSITAT POLITECNICA DE CATALUNYA,"281062,50",CALLE JORDI GIRONA 31 08034 Barcelona Spain    ,http://www.upc.edu,11,10,"FUNDACIO PRIVADA PER A LA XARXA OBERTA, LLIURE I NEUTRAL, GUIFI.NET   Spain",MASIA L'ESPERANCA 08503 GURB (BARCELONA)    ,"73625,00","73625,00",
