platform_url,active,platform_about,year_creation,terms_link,privacy_link,code_repository,programming_language,governance_explicit,api,organization_of_managers,footer_organization,about_organization,metadata_organization,contact_organization,headers_organization,platform_license,platform_email,country_from_whois,country_servers,data_download_options,data_standards
https://observation.org/,Status code: 200,https://observation.org/about,2002.0,https://observation.org/terms,https://observation.org/privacy,,Python,https://observation.org/data-governance,,,,,,,Checking If You Are Not A Bot,,,GB,The Netherlands,Protected by anti-bot,Protected by anti-bot
https://ornitologia.org/,Status code: 200,,2000.0,https://ornitologia.org/ca/quisom/associacio/avis-legal.html,,,,,https://api.ornitologia.org,,,,,,,copyright 2025 institut català d'ornitologia | avís legal i política de privadesa,ico@ornitologia.org,,Ireland,,
https://mics.tools/,Status code: 200,https://about.mics.tools,,,,,Ruby,,,,This Project Has Received Funding From The European Uni,,Mics.Tools,,Mics.Tools,creative commons attribution-sharealike 4.0 international license.,,,United Kingdom,,
https://www.zooniverse.org/,Status code: 200,https://www.zooniverse.org/about,2008.0,https://www.zooniverse.org/privacy-policy,https://www.zooniverse.org/privacy,,PHP,https://www.zooniverse.org/privacy,https://developer.zooniverse.org,,,To Make An Error,,,Zooniverse,,contact@zooniverse.org.,,United States,,
https://www.pocket.science/products/ispex/,Status code: 200,https://www.pocket.science/index.html#about,2021.0,,,,,,,DDQ B.V.,Pocket,,,,Ispex - Validated Smartphone Spectropolarimeter For Air & Water Quality Monitoring | Pocket Science,© 2025 pocket,,NL,United States,,
https://www.ispotnature.org/,Status code: 200,,2012.0,,https://www.ispotnature.org/cookies,,PHP,,,,,,,,Home | Ispot Nature,,,,Canada,,
https://plantnet.org/en/,Status code: 200,,2014.0,https://identify.plantnet.org/en/terms_of_use,,https://github.com/plantnet,PHP,https://plantnet.org/open-data/,https://my.plantnet.org,,Pl@Ntnet™,,Pl@Ntnet,Weedelec Project Cactus Deepsdm,Home - Pl@Ntnet,"© 2025 pl@ntnet™  the pl@ntnet trademark is a protected trademark owned by cirad, inrae, inria and ird",,,France,https://plantnet.org/en/#download,JSON-LD
https://smartcitizen.me/,Status code: 200,,2012.0,,,,JavaScript,,https://developer.smartcitizen.me,,,,,,Smart Citizen,,,,United States,,
https://artportalen.se/,Status code: 200,,2005.0,https://artportalen.se/FieldDiary,,,ASP.NET,,,artdat1805-00001,,,,Landskapsligan,Välkommen Till Artportalen,,,,Sweden,,
https://minka-sdg.org/,Status code: 200,https://minka-sdg.org/pages/about_us,2021.0,https://minka-sdg.org/pages/terms_and_agreements,https://minka-sdg.org/pages/privacy_policy,,Ruby,https://minka-sdg.org/pages/governance,https://api.minka-sdg.org,,About Us Contact Us Communi,,Minka,,A Community To Get The Sdg · Minka,"creative commons attribution 4.0 license. minka incorporates consent commons icons, allowing for easy visual compreh",,,Spain,,"DOI, Zenodo"
https://sensor.community/en/,Status code: 200,,,https://sensor.community/en/privacy-terms/,https://sensor.community/en/privacy-terms/,https://github.com/opendata-stuttgart/meta/wiki/Translations,,,https://api.sensor.community,,,,,,Sensor Community,,,,Germany,,
https://www.spotteron.com,Status code: 200,https://www.spotteron.com/about,2013.0,https://www.spotteron.com/#identifier_8031,https://www.spotteron.com/citizen-science-app-features/privacy-data-safety,,PHP,,,,,,,,,,office@spotteron.netphone,AT,Ireland,,Microdata
