name,url,developer,rating,currency,description,language
SC Aquarium Citizen Science,https://apps.apple.com/us/app/sc-aquarium-citizen-science/id1210127057?uo=4,MDI Biological Laboratory,5.0,USD,"Get involved as a South Carolina Aquarium citizen scientist directly from your phone! Share your observations, see what others are reporting and help protect wildlife and the environment. The South Carolina Aquarium app is powered by Anecdata.org, a free citizen science platform developed at the MDI Biological Laboratory.",['EN']
iNaturalist Classic,https://apps.apple.com/us/app/inaturalist-classic/id421397028?uo=4,iNaturalist,4.5826,USD,"iNaturalist Classic is the original version of our app. For the best experience, including many new features and ongoing updates, we recommend using the new, redesigned iNaturalist app.

iNaturalist Classic offers a simple interface to record encounters with biodiversity for people who are already familiar with iNaturalist. 

KEY FEATURES
• Identify species from anywhere in the world (while online)
• Keep a record of species you see
• Contribute to science by sharing your observations
• Add your observations manually to projects
• Learn about biodiversity 
• Connect with and learn from other nature enthusiasts

iNaturalist’s nonprofit mission is to connect people to nature and advance science and conservation. iNaturalist is freely available thanks to generous support from our community of donors.

Explore and learn even more at https://www.inaturalist.org.","['AR', 'BG', 'CA', 'CS', 'DA', 'NL', 'EN', 'FI', 'FR', 'DE', 'EL', 'HE', 'HU', 'ID', 'IT', 'JA', 'KK', 'KO', 'LV', 'LT', 'NB', 'PL', 'PT', 'RO', 'RU', 'ZH', 'SI', 'ES', 'SV', 'TH', 'ZH', 'TR', 'UK']"
Citizen Science,https://apps.apple.com/us/app/citizen-science/id1439168937?uo=4,NIWA New Zealand,0.0,USD,"NIWA Citizen Science App

Citizen science projects allow members of the public to work on important scientific research. NIWA’s new Citizen Science App makes this easier than ever by enabling simple data entry for science surveys. 

How does the App work?
When a researcher creates a citizen science survey, it is immediately available, through the Citizen Science App. 

Users can choose from a variety of surveys. Some, such as snow depth or storm assessment, will come and go during the year - others will remain year-round. 

Once surveys are completed, users can see their submissions on the Citizen Science website. 

Other research groups – professional or amateur – can also use this data for other scientific projects. Surveys can be restricted to specific user groups if required. 

As the data set grows it will become a useful tool for scientists all over the country through NIWA’s comprehensive API. 

If you're interested in finding out more, please email citizenscience@niwa.co.nz.",['EN']
Savvy Citizen,https://apps.apple.com/us/app/savvy-citizen/id1229115147?uo=4,"Management Science Associates, Inc.",4.79444,USD,"Savvy Citizen is a community notification system to keep you better informed of local events and alerts. Local community information is added by your participating municipality or county with the goal of keeping you informed.  Choose any combination of push notification, text or email as your method of notification then go about your day. Simply download the app, select your community, and start receiving notifications. It’s free. Become a more Savvy Citizen today.

App features include:
• A community calendar of events with dates, times and details, even updates and changes.
• Local alerts which may include road closures, water main breaks, school closings, etc.
• The capability for local governments to update in real time happenings that impact your day.
• The option to customize and edit how you receive notifications.
• The ability to manage  communities you would like to receive events and alerts from.",['EN']
Anecdata.org,https://apps.apple.com/us/app/anecdata-org/id1315666791?uo=4,MDI Biological Laboratory,5.0,USD,Anecdata.org is a free online platform anyone can use to host a citizen science project.,['EN']
ZOE Health Study,https://apps.apple.com/us/app/zoe-health-study/id1503529611?uo=4,Zoe Limited,4.83521,USD,"Help critical research into major health conditions by reporting how you feel each day in the app, even if you feel well.

Join over 800,000 people in supporting scientists to help our national health services fight the biggest health issues of our generation. Millions joined ZOE to fight COVID-19 with their mobile phones from home. Why stop there?

The ZOE Health Study is an evolution of the ZOE COVID Study, which has data quoted in thousands of news stories and published in dozens of scientific papers. We’ve already proven that our approach can rapidly advance scientific understanding and public knowledge.

With our technology and dedicated Contributors, our research will look at how altering your day-to-day behaviour could impact your immune system and reduce the risk of developing major diseases from cancer to dementia. You will be directly helping us to develop an early warning system for disease detection which will help to save lives.

This app (formerly known as the ZOE COVID Study) allows you to help others but does not give health advice. If you need health advice please visit the NHS website.

DATA

The data that you give us for our research into diseases other than COVID-19 will be restricted to King’s College London and ZOE only unless you opt-in to share it more widely in the future.

Your data is protected under GDPR, and can only be used for the purpose that you consent to.

We’ll never sell your data and we’ll be transparent about developments we make to products that advance human health. Please read our privacy policy for more information.

HEALTH INFORMATION

You will be asked to share some general information, such as your age, and some health information, such as whether you have certain diseases.

DAILY SYMPTOM TRACKING

We will ask you to set up your ‘Usual Self’, this is your personal health baseline and will indicate any symptoms you may frequently suffer from. By telling us how you feel each day and reporting any changes in your usual symptoms, we will be able to relay valuable data to scientists.

ADDITIONAL RESEARCH STUDIES 

We’ll conduct voluntary participant studies to see how lifestyle changes might work for you as individuals. We’ll play back insights from the studies to the community that will enable you to live your healthiest life and reduce your risk of developing major diseases.

In-depth studies into issues such as menopause and cancer will uncover detailed new findings to advance our understanding of major conditions and diseases. This app is designed and built by ZOE Global Limited, a health science start-up, in partnership with doctors and scientists at King's College London.",['EN']
Leave No Trace Citizen Science,https://apps.apple.com/us/app/leave-no-trace-citizen-science/id1536428995?uo=4,Greg Newman,5.0,USD,The Leave No Trace Center for Outdoor Ethics protects the outdoors by teaching and inspiring people to enjoy it responsibly. The Center accomplishes this mission by delivering cutting edge education and research to millions of people every year. This app is the citizen science app for Leave No Trace and empowers volunteers to help monitor resource conditions over time.,['EN']
BirdNET,https://apps.apple.com/us/app/birdnet/id1541842885?uo=4,Stefan Kahl,4.09844,USD,"How can computers learn to recognize birds from sounds? The BirdNET research project uses artificial intelligence and neural networks to train computers to identify nearly 3,000 of the most common species of North America and Europe. You can record a file using the internal microphone of your iOS device and see if BirdNET correctly identifies the probable bird species present in your recording. Get to know the birds around you and help us to collect observations by submitting your recordings. 

BirdNET is a joint project of the K. Lisa Yang Center for Conservation Bioacoustics at the Cornell Lab of Ornithology, and Chemnitz University of Technology.","['CS', 'NL', 'EN', 'FR', 'DE', 'IT', 'LT', 'PL', 'PT', 'RU', 'ES', 'UK']"
GLOBE Observer,https://apps.apple.com/us/app/globe-observer/id1090456751?uo=4,NASA,3.09756,USD,"The GLOBE Observer app enables you to make observations of your environment. GLOBE Observer is the app of the Global Learning and Observations to Benefit the Environment (GLOBE) Program. The GLOBE Program is an international science and education program that provides students and people of all ages worldwide with the opportunity to participate in data collection and the scientific process, and contribute meaningfully to our understanding of the Earth system and global environment. By using the GLOBE Observer app, you contribute scientific data to your community, students and scientists worldwide, including researchers at NASA, NOAA, and other 
science research institutions. 
 
GLOBE Observer allows all users to contribute observations of clouds, mosquito habitats, land cover, and trees. Trained and certified users can also use the app to submit additional environmental measurements from all GLOBE protocols. 

GLOBE Clouds allows observers to make regular observations of Earth’s cloud cover and compare them to satellite observations. With GLOBE Mosquito Habitat Mapper, users locate mosquito habitats, observe and identify mosquito larvae, and reduce the potential threat of mosquito borne disease. GLOBE Land Cover is designed to allow users to document what is on the land (trees, grass, buildings, etc.). GLOBE Trees asks users to estimate a tree’s height by taking pictures of trees with their device and answering a few questions. 

Additional capabilities may be added.
 
Visit us at https://www.globe.gov and https://observer.globe.gov.",['EN']
Quantified Citizen Pro,https://apps.apple.com/us/app/quantified-citizen-pro/id1580605645?uo=4,Quantified Citizen Technologies Inc.,0.0,USD,"Quantified Citizen Pro is the professional version of the Quantified Citizen app. If you have been invited to join a study by one of our Academic Research Partners you will be able to review participation details, determine if you are eligible and join the study. 

Study participation includes performing activities according to the protocol created by an Academic Research. Activities include filling-out and submitting questionnaires, performing one or more cognitive tests which including finger tapping and memory tests, as well as several auditory tests.

Researchers can choose to request data from HealthKit and CareKit as part of a participant's involvement in a study. The user is given the option to Opt-In for including this data in which case they must also give permission to the app to access this data within their device settings. Participation is not required and a user can simply choose to not join the study. 


Creating a login is anonymous.",['EN']
