name,developer,description,url,language,platform_url
Anecdata.org,MDI Biological Laboratory,Anecdata.org is a free online platform anyone can use to host a citizen science project.,https://apps.apple.com/us/app/anecdata-org/id1315666791?uo=4,['EN'],https://www.anecdata.org/
ZOE Health Study,Zoe Limited,"Help critical research into major health conditions by reporting how you feel each day in the app, even if you feel well.

Join over 800,000 people in supporting scientists to help our national health services fight the biggest health issues of our generation. Millions joined ZOE to fight COVID-19 with their mobile phones from home. Why stop there?

The ZOE Health Study is an evolution of the ZOE COVID Study, which has data quoted in thousands of news stories and published in dozens of scientific papers. We’ve already proven that our approach can rapidly advance scientific understanding and public knowledge.

With our technology and dedicated Contributors, our research will look at how altering your day-to-day behaviour could impact your immune system and reduce the risk of developing major diseases from cancer to dementia. You will be directly helping us to develop an early warning system for disease detection which will help to save lives.

This app (formerly known as the ZOE COVID Study) allows you to help others but does not give health advice. If you need health advice please visit the NHS website.

DATA

The data that you give us for our research into diseases other than COVID-19 will be restricted to King’s College London and ZOE only unless you opt-in to share it more widely in the future.

Your data is protected under GDPR, and can only be used for the purpose that you consent to.

We’ll never sell your data and we’ll be transparent about developments we make to products that advance human health. Please read our privacy policy for more information.

HEALTH INFORMATION

You will be asked to share some general information, such as your age, and some health information, such as whether you have certain diseases.

DAILY SYMPTOM TRACKING

We will ask you to set up your ‘Usual Self’, this is your personal health baseline and will indicate any symptoms you may frequently suffer from. By telling us how you feel each day and reporting any changes in your usual symptoms, we will be able to relay valuable data to scientists.

ADDITIONAL RESEARCH STUDIES 

We’ll conduct voluntary participant studies to see how lifestyle changes might work for you as individuals. We’ll play back insights from the studies to the community that will enable you to live your healthiest life and reduce your risk of developing major diseases.

In-depth studies into issues such as menopause and cancer will uncover detailed new findings to advance our understanding of major conditions and diseases. This app is designed and built by ZOE Global Limited, a health science start-up, in partnership with doctors and scientists at King's College London.",https://apps.apple.com/us/app/zoe-health-study/id1503529611?uo=4,['EN'],https://health-study.zoe.com/
Leave No Trace Citizen Science,Greg Newman,The Leave No Trace Center for Outdoor Ethics protects the outdoors by teaching and inspiring people to enjoy it responsibly. The Center accomplishes this mission by delivering cutting edge education and research to millions of people every year. This app is the citizen science app for Leave No Trace and empowers volunteers to help monitor resource conditions over time.,https://apps.apple.com/us/app/leave-no-trace-citizen-science/id1536428995?uo=4,['EN'],https://lnt.org/our-work/citizen-science/
BirdNET,Stefan Kahl,"How can computers learn to recognize birds from sounds? The BirdNET research project uses artificial intelligence and neural networks to train computers to identify nearly 3,000 of the most common species of North America and Europe. You can record a file using the internal microphone of your iOS device and see if BirdNET correctly identifies the probable bird species present in your recording. Get to know the birds around you and help us to collect observations by submitting your recordings. 

BirdNET is a joint project of the K. Lisa Yang Center for Conservation Bioacoustics at the Cornell Lab of Ornithology, and Chemnitz University of Technology.",https://apps.apple.com/us/app/birdnet/id1541842885?uo=4,"['CS', 'NL', 'EN', 'FR', 'DE', 'IT', 'LT', 'PL', 'PT', 'RU', 'ES', 'UK']",https://birdnet.cornell.edu
GLOBE Observer,NASA,"The GLOBE Observer app enables you to make observations of your environment. GLOBE Observer is the app of the Global Learning and Observations to Benefit the Environment (GLOBE) Program. The GLOBE Program is an international science and education program that provides students and people of all ages worldwide with the opportunity to participate in data collection and the scientific process, and contribute meaningfully to our understanding of the Earth system and global environment. By using the GLOBE Observer app, you contribute scientific data to your community, students and scientists worldwide, including researchers at NASA, NOAA, and other 
science research institutions. 
 
GLOBE Observer allows all users to contribute observations of clouds, mosquito habitats, land cover, and trees. Trained and certified users can also use the app to submit additional environmental measurements from all GLOBE protocols. 

GLOBE Clouds allows observers to make regular observations of Earth’s cloud cover and compare them to satellite observations. With GLOBE Mosquito Habitat Mapper, users locate mosquito habitats, observe and identify mosquito larvae, and reduce the potential threat of mosquito borne disease. GLOBE Land Cover is designed to allow users to document what is on the land (trees, grass, buildings, etc.). GLOBE Trees asks users to estimate a tree’s height by taking pictures of trees with their device and answering a few questions. 

Additional capabilities may be added.
 
Visit us at https://www.globe.gov and https://observer.globe.gov.",https://apps.apple.com/us/app/globe-observer/id1090456751?uo=4,['EN'],https://observer.globe.gov/
Quantified Citizen Pro,Quantified Citizen Technologies Inc.,"Quantified Citizen Pro is the professional version of the Quantified Citizen app. If you have been invited to join a study by one of our Academic Research Partners you will be able to review participation details, determine if you are eligible and join the study. 

Study participation includes performing activities according to the protocol created by an Academic Research. Activities include filling-out and submitting questionnaires, performing one or more cognitive tests which including finger tapping and memory tests, as well as several auditory tests.

Researchers can choose to request data from HealthKit and CareKit as part of a participant's involvement in a study. The user is given the option to Opt-In for including this data in which case they must also give permission to the app to access this data within their device settings. Participation is not required and a user can simply choose to not join the study. 


Creating a login is anonymous.",https://apps.apple.com/us/app/quantified-citizen-pro/id1580605645?uo=4,['EN'],https://www.quantifiedcitizen.com/
spotFIRE | Citizen Science,SPOTTERON Gmbh,"SpotFIRE is a Citizen Science project focusing on forest fire and fuel management to reduce forest fire risk, initiated by the Institute of Silviculture, University of Natural Resources and Life Sciences, Vienna.

The project aims to evaluate the suitability of a mobile phone application inspired by citizen science approaches to measure forest fuel data and collect information on forest fire events for fire risk management in mountainous regions.

Participants will be able to collect data on vegetation cover, providing crucial insights into the fuel load and potential fire intensity. Furthermore, the mobile application allows users to report a forest fires event, including the environmental impact and damage assessments, facilitating a comprehensive understanding of the consequences of forest fires. By engaging citizens as active contributors, the spotFIRE project aspires to raise awareness to improve fire prevention efforts from the general public and support the implementation of fire management strategies.

The spotFIRE | Citizen Science App is running on the SPOTTERON Platform at www.spotteron.net",https://apps.apple.com/us/app/spotfire-citizen-science/id6462456297?uo=4,"['EN', 'DE']",https://www.spotfire.com/
Brain Explorer,UCL,"How does your brain work? How is your brain power compared
to your friends? Play the fun and entertaining games in the Brain Explorer app and
learn all about your brain. 

The Brain Explorer app was developed by world-leading
neuroscientists at University College London (UCL) and brings you the newest
games to measure your brain power using the most state-of-the-art brain tests.

Using this app, you can
- Play many fun games that test your brain power
- Compare your brain scores with others
- Win medals and unlock hidden games
- Help scientists understand how the brain works.

You will explore outer space, find new planets, visit
intergalactic marketplaces and hunt for treasures across the entire galaxy.
This space-themed app entails multiple entertaining games, each of them probing
another brain function. You get feedback about your performance, can learn about
your brain strengths, and compare yourself to others. By playing these games,
you will collect moons and stars that allow you to further explore the galaxy.
If you play well, you will win medals and get badges for your achievements.

Brain explorer is a citizen science project. By playing
these games and answering questions, you will help scientist understand how the
brain develops and how brain functions are linked to mental health. Become a researcher
yourself and help uncover the hidden mysteries of the brain. Data collection is
entirely anonymous.",https://apps.apple.com/us/app/brain-explorer/id1490281801?uo=4,['EN'],https://www.brainexplorer.net
WaterLinx | Citizen Science,SPOTTERON Gmbh,"Water constitutes and connects all life forms on earth. However, current human water- and land-use patterns and emissions from our socio-industrial and consumption practices undermine the capacity of natural ecosystems in water and on land to regenerate themselves to remain a healthy basis for diverse forms of life. The health of interconnected water and soil systems is deteriorating at an ever-faster pace. Potential impacts from climate change threaten to accelerate this decline Just reducing our harmful impacts will no longer suffice. We need to take regenerative action. Restoring healthy water bodies is also a fundamental need to make the planet’s life support system with water and earth more resilient to the potential impacts of climate change.  But where should we act first, and what actions promise success?  EU Data sets relating to water quality are expensive to obtain and accordingly scantly distributed across time and space. Most data related to large rivers but not smaller streams that may flow through biodiversity-rich areas. 



Citizen science can play an important role in complementing official data sets on water quality to identify pollution hot spots, in particular in small streams that are not usually monitored by experts (König et al., 2020).  This APP provides a citizen science tool to explore water quality and ecosystem health where you stand and can take action.  Data collected with this APP can 
- inform you and any citizen in an accessible manner on where regenerative action for healthy water bodies might be most urgently needed, 
- open new windows on compliance with EU water quality standards and on the effectiveness of Luxembourg policy making and implementation, 
- be used by scientists (experts and citizens) to evaluate and learn from regenerative projects.



If you would like to engage in both monitoring with this APP and regenerative action, you can seek inspiration for practical projects with impact on www.transformation-lab.lu and www.aktioun-nohaltegkeet.lu .",https://apps.apple.com/us/app/waterlinx-citizen-science/id6447082468?uo=4,"['EN', 'DE']",https://www.spotteron.net/apps/regional-community-science-projects/waterlinx-citizen-science
The Happiness Project,UCL,"Play fun mini-games to help brain scientists study the psychology and neuroscience of well-being!

Created by scientists at UCL and Yale, this app is a citizen science project taking psychology and neuroscience experiments from the lab to your smartphone.

Every 3-minute game that you finish contributes data to real scientific research about how the brain works. The anonymous surveys help us see what causes well-being and understand mental health conditions like anxiety and depression. Be part of a unique citizen science experiment and help us write the equation for happiness!

Dr Robb Rutledge (Yale Psychology) says: ""We all want to know what determines happiness. It’s hard to figure it out! In our games, we ask people about their happiness as they make decisions in different situations. We hope people enjoy our app and help us answer some really important scientific questions!""

This citizen science project was supported by the UK Medical Research Council.",https://apps.apple.com/us/app/the-happiness-project/id1366965114?uo=4,['EN'],https://thehappinessproject.app
Faunawatch Citizen Science,Kevin Vishal,Always wanted to preserve wildlife? Help Faunawatch with her research to protect endangered species. From everywhere in the world you can help us by identifying animals.,https://apps.apple.com/us/app/faunawatch-citizen-science/id1594067397?uo=4,['EN'],https://faunawatch.org/contact/
Echo Meter Touch Bat Detector,Wildlife Acoustics,"Using the Echo Meter Touch 2 Pro plug-in module, this app allows you to listen to record and automatically identify bats by their ultrasonic echolocation calls. The module and this companion app reveal the silent and often times invisible world of bats, providing outdoor enthusiasts, citizen scientists, and researchers an affordable and informative way to interact with these important creatures. There are two models: Echo Meter Touch 2 (EMT 2) is intended for nature enthusiasts and batting hobbyists and Echo Meter Touch 2 Pro is designed for bat professionals and features a higher quality microphone, adjustable gain, and higher sample rate.

The Echo Meter Touch Ultrasonic Module senses ultrasonic signals, digitizes the signal, and transmits the ultrasonic data to the app on your iOS device. 

LISTEN TO BAT’S ECHOLOCATIONS
EMT2 translates bat echolocations into frequencies that are audible to humans using two technologies. Wildlife Acoustics’ patented Real Time Expansion (RTE) allows you to listen to bats in real time with unparalleled fidelity. RTE maintains the timing and tonality of the original echolocations. Heterodyne (HET) listening via manual and automatic tuning is also available, for those accustomed to that way of hearing bats. 

VIEW THE ECHOLOCATIONS ON A SPECTROGRAM
A real-time spectrogram shows the frequencies and timing of the echolocations. Scroll back in time and zoom in on previous ""bat passes.""  

SEE MOST LIKELY BAT SPECIES IN REAL-TIME***
The Auto ID feature analyzes the echolocation calls and suggests the two most likely bat species matches in real time. This is the same technology used in our professional Kaleidoscope Pro Bat Auto Identification software. Currently, the app can identify 26 species in North America, 25 in Europe and 57 in the neotropics. For more information on Kaleidoscope and a full list of species, visit our website.

RECORD .WAV FILES
Activate triggered recording mode to automatically save bat passes to full spectrum .wav files for analysis on a computer or to view on your iDevice. Or use manual record mode to control start and stop of recording. View the recording spectrogram and add voice or text notes. Listen to the recording using RTE, HET, or traditional Time Expansion Playback (playback at fractional speed to make the ultrasound audible).

SEE YOUR PATH AND RECORDING LOCATIONS
View in satellite or road map view. View identified species codes directly on the map. Go to the recording's spectrogram from the map view. Transfer to your computer to view in Google Earth. Your iDevice must have GPS capability or you must use a Bluetooth GPS receiver for this functionality.
*Continued use of GPS running in the background can dramatically decrease battery life.*

TRANSFER RECORDINGS TO YOUR COMPUTER 
The EMT 2 can transfer the .wav recordings to your computer over a Wi-Fi network or using a USB cable. 

SHARE RECORDINGS VIA EMAIL OR MMS MESSAGING 
And import and open files that have been shared with you.

***Because bats vary their echolocation calls in response to a wide variety of needs, no automated identification can achieve 100% accuracy in species identification. Auto-ID, though largely accurate, should not be relied on as a basis for scientific research. Auto-ID is intended for use in analyzing recordings of single bats in free flight in low clutter environments. Auto-ID will not work well on recordings of roost emergence, multiple or captive bats, bats in high clutter environments, or bat social calls. Auto-ID does not include every possible bat for each of the covered regions.",https://apps.apple.com/us/app/echo-meter-touch-bat-detector/id693958125?uo=4,['EN'],https://www.echometertouch.com
